Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,36.599998,36.799999,36.430000,36.549999,31.465040,274000
2016-03-23,36.380001,36.410000,35.759998,35.820000,30.836607,294500
2016-03-24,35.500000,35.790001,35.349998,35.709999,30.741899,262000
2016-03-28,35.630001,35.820000,35.619999,35.790001,30.810774,61500
2016-03-29,35.430000,36.110001,35.419998,36.060001,31.043213,768200
2016-03-30,36.360001,36.759998,36.349998,36.740002,31.628609,503200
2016-03-31,36.810001,36.910000,36.630001,36.900002,31.766356,562700
2016-04-01,36.549999,36.990002,36.200001,36.980000,31.835218,348300
2016-04-04,36.930000,36.980000,36.660000,36.820000,31.697479,269400
2016-04-05,36.560001,36.630001,36.070000,36.279999,31.232605,320600
2016-04-06,36.040001,36.099998,35.720001,36.040001,31.025997,176800
2016-04-07,35.619999,35.740002,35.259998,35.349998,30.431988,162900
2016-04-08,35.830002,35.959999,35.650002,35.720001,30.750513,238100
2016-04-11,35.930000,36.080002,35.759998,35.910000,30.914078,320700
2016-04-12,36.290001,36.610001,36.119999,36.570000,31.482258,382600
2016-04-13,36.880001,37.070000,36.759998,36.860001,31.731915,312000
2016-04-14,37.000000,37.220001,36.799999,37.110001,31.947128,189300
2016-04-15,36.990002,37.020000,36.799999,36.880001,31.749134,197000
2016-04-18,36.939999,37.349998,36.799999,37.189999,32.015999,193200
2016-04-19,37.740002,38.080002,37.630001,37.950001,32.670265,211800
2016-04-20,37.860001,37.910000,37.689999,37.689999,32.446438,135800
2016-04-21,37.970001,37.990002,37.400002,37.520000,32.300091,683400
2016-04-22,37.430000,37.639999,36.900002,36.990002,31.843824,351400
2016-04-25,37.000000,37.119999,36.500000,36.540001,31.456429,390700
2016-04-26,36.820000,36.880001,36.650002,36.820000,31.697479,410000
2016-04-27,36.750000,37.439999,36.619999,37.360001,32.162354,365400
2016-04-28,37.250000,38.080002,37.160000,37.889999,32.618610,606300
2016-04-29,37.970001,38.180000,37.790001,38.130001,32.825230,570700
2016-05-02,37.880001,37.900002,37.700001,37.820000,32.558357,657500
2016-05-03,37.340000,37.500000,37.060001,37.330002,32.136524,970000
2016-05-04,37.270000,37.290001,37.080002,37.200001,32.024612,545100
2016-05-05,37.450001,37.650002,37.189999,37.360001,32.162354,333900
2016-05-06,37.299999,37.650002,37.250000,37.529999,32.308697,393500
2016-05-09,37.189999,37.360001,36.330002,36.349998,31.292866,484700
2016-05-10,36.450001,36.650002,36.220001,36.610001,31.516691,768300
2016-05-11,36.730000,36.900002,36.410000,36.590000,31.499477,490000
2016-05-12,36.779999,36.790001,36.330002,36.369999,31.310083,205600
2016-05-13,36.130001,36.360001,35.830002,35.880001,30.888252,260100
2016-05-16,36.049999,36.310001,35.500000,35.509998,30.569727,1059500
2016-05-17,35.520000,35.880001,35.299999,35.759998,30.784948,459100
2016-05-18,35.459999,35.590000,35.139999,35.279999,30.371727,577700
2016-05-19,35.119999,35.279999,34.680000,35.029999,30.156504,375100
2016-05-20,35.299999,35.590000,35.279999,35.299999,30.388943,192300
2016-05-23,35.000000,35.360001,34.939999,35.230000,30.328680,450300
2016-05-24,35.400002,35.480000,35.160000,35.180000,30.285645,261800
2016-05-25,35.400002,35.709999,35.369999,35.450001,30.518080,163200
2016-05-26,35.630001,35.980000,35.630001,35.730000,30.759119,193900
2016-05-27,35.750000,35.990002,35.500000,35.680000,30.716080,199500
2016-05-31,35.630001,35.730000,35.150002,35.200001,30.302856,274400
2016-06-01,34.880001,35.230000,34.799999,35.130001,30.242596,257000
2016-06-02,34.919998,35.320000,34.919998,35.259998,30.354509,731800
2016-06-03,35.639999,36.029999,35.520000,36.020000,31.008778,210400
2016-06-06,36.060001,36.709999,36.020000,36.639999,31.542524,182200
2016-06-07,36.680000,36.980000,36.529999,36.869999,31.740519,203700
2016-06-08,37.290001,37.520000,37.049999,37.180000,32.007389,188700
2016-06-09,36.860001,36.980000,36.590000,36.700001,31.594175,235400
2016-06-10,36.200001,36.270000,35.959999,36.040001,31.025997,224200
2016-06-13,35.830002,35.930000,35.480000,35.540001,30.595552,227100
2016-06-14,35.369999,35.529999,35.169998,35.490002,30.552509,367800
2016-06-15,35.790001,36.150002,35.680000,35.770000,30.793556,409400
2016-06-16,35.590000,35.860001,35.279999,35.799999,30.819382,106000
2016-06-17,35.900002,36.259998,35.860001,36.099998,31.077648,218200
2016-06-20,36.580002,36.790001,36.360001,36.590000,31.499477,345200
2016-06-21,36.910000,36.990002,36.549999,36.910000,31.774960,187200
2016-06-22,36.419998,36.549999,36.130001,36.240002,31.780222,692400
2016-06-23,36.580002,36.939999,36.520000,36.919998,32.376534,322400
2016-06-24,35.360001,35.639999,34.950001,35.040001,30.727900,559500
2016-06-27,34.930000,35.009998,34.139999,34.389999,30.157885,584400
2016-06-28,35.180000,35.930000,35.180000,35.860001,31.446981,341300
2016-06-29,36.310001,36.740002,36.310001,36.549999,32.052071,273500
2016-06-30,36.590000,36.830002,36.410000,36.799999,32.271297,266600
2016-07-01,36.759998,37.230000,36.759998,37.139999,32.569462,256300
2016-07-05,37.110001,37.290001,36.700001,36.820000,32.288837,539300
2016-07-06,36.669998,36.919998,35.990002,35.990002,31.560986,207100
2016-07-07,36.770000,37.029999,36.369999,36.520000,32.025757,290900
2016-07-08,36.869999,37.230000,36.630001,37.169998,32.595772,247200
2016-07-11,37.330002,37.490002,37.040001,37.070000,32.508076,325000
2016-07-12,37.500000,37.919998,37.470001,37.560001,32.937782,617900
2016-07-13,37.740002,37.790001,37.450001,37.650002,33.016701,339700
2016-07-14,37.900002,38.299999,37.619999,38.180000,33.481476,391000
2016-07-15,38.189999,38.439999,38.040001,38.119999,33.428867,506500
2016-07-18,38.049999,38.660000,38.009998,38.660000,33.902397,127600
2016-07-19,38.480000,38.700001,38.419998,38.610001,33.858562,539600
2016-07-20,38.700001,38.980000,38.520000,38.730000,33.963795,416900
2016-07-21,38.500000,38.730000,38.470001,38.680000,33.919949,689500
2016-07-22,38.740002,38.980000,38.619999,38.900002,34.112869,268800
2016-07-25,38.720001,38.770000,38.360001,38.580002,33.832253,902200
2016-07-26,38.500000,38.570000,38.279999,38.439999,33.709480,268200
2016-07-27,38.400002,38.400002,38.110001,38.259998,33.551632,179500
2016-07-28,38.270000,38.299999,38.040001,38.200001,33.499016,144700
2016-07-29,38.529999,38.730000,38.189999,38.450001,33.718250,101900
2016-08-01,38.250000,38.419998,37.790001,37.990002,33.314857,1032200
2016-08-02,38.119999,38.330002,37.689999,37.950001,33.279781,795300
2016-08-03,37.770000,38.130001,37.709999,38.090000,33.402550,195400
2016-08-04,38.009998,38.299999,37.880001,38.220001,33.516556,314200
2016-08-05,38.279999,38.290001,38.009998,38.080002,33.393787,545700
2016-08-08,38.290001,38.680000,38.169998,38.360001,33.639328,446100
2016-08-09,38.560001,38.709999,38.369999,38.669998,33.911175,436900
2016-08-10,39.090000,39.180000,38.509998,38.669998,33.911175,145200
2016-08-11,38.970001,39.389999,38.689999,39.369999,34.525036,149000
2016-08-12,39.279999,39.279999,38.869999,39.020000,34.218109,279700
2016-08-15,39.009998,39.380001,38.860001,39.130001,34.314571,244200
2016-08-16,39.250000,39.270000,38.750000,38.869999,34.086567,132000
2016-08-17,38.580002,38.730000,37.959999,38.160000,33.463940,153000
2016-08-18,38.369999,38.540001,38.160000,38.299999,33.586708,181900
2016-08-19,38.049999,38.259998,37.869999,38.080002,33.393787,218900
2016-08-22,38.000000,38.040001,37.400002,37.520000,32.902699,229900
2016-08-23,37.919998,38.000000,37.349998,37.349998,32.753620,509000
2016-08-24,37.680000,37.770000,37.459999,37.770000,33.121937,206600
2016-08-25,37.490002,38.139999,37.490002,38.009998,33.332401,97900
2016-08-26,38.000000,38.349998,37.279999,37.490002,32.876392,347800
2016-08-29,37.430000,37.660000,37.410000,37.470001,32.858856,150300
2016-08-30,37.689999,38.330002,37.180000,37.180000,32.604542,84100
2016-08-31,37.060001,37.060001,36.430000,36.520000,32.025757,580100
2016-09-01,36.750000,36.770000,36.430000,36.599998,32.095913,145300
2016-09-02,37.160000,37.520000,37.040001,37.470001,32.858856,383400
2016-09-06,37.410000,37.900002,37.240002,37.779999,33.130703,176100
2016-09-07,37.740002,37.830002,37.419998,37.450001,32.841312,379100
2016-09-08,37.689999,37.750000,37.119999,37.139999,32.569462,170900
2016-09-09,37.099998,37.099998,36.599998,36.610001,32.104687,395800
2016-09-12,36.490002,36.830002,36.250000,36.709999,32.192379,249300
2016-09-13,36.560001,36.560001,36.009998,36.090000,31.648676,291900
2016-09-14,36.169998,36.459999,36.110001,36.110001,31.666222,223900
2016-09-15,36.529999,36.580002,36.230000,36.450001,31.964376,112000
2016-09-16,36.349998,36.349998,36.060001,36.070000,31.631140,212500
2016-09-19,36.450001,36.660000,36.130001,36.169998,31.718830,90100
2016-09-20,36.250000,36.500000,36.160000,36.439999,31.955603,209500
2016-09-21,36.610001,37.330002,36.610001,37.259998,32.674698,365400
2016-09-22,37.700001,37.980000,37.570000,37.770000,33.121937,280200
2016-09-23,37.680000,37.740002,37.250000,37.290001,32.700996,289500
2016-09-26,37.470001,37.560001,37.009998,37.040001,32.481773,193900
2016-09-27,37.180000,37.189999,36.689999,37.070000,32.508076,1190100
2016-09-28,37.340000,37.459999,36.910000,37.349998,32.753620,149600
2016-09-29,37.369999,37.490002,36.970001,36.970001,32.420383,152700
2016-09-30,37.270000,37.270000,36.840000,36.889999,32.350224,130800
2016-10-03,37.049999,37.080002,36.750000,37.040001,32.481773,100200
2016-10-04,37.119999,37.160000,36.849998,36.939999,32.394070,138000
2016-10-05,36.810001,37.080002,36.810001,37.049999,32.490536,136800
2016-10-06,36.880001,37.060001,36.880001,37.060001,32.499310,96900
2016-10-07,36.970001,37.200001,36.740002,36.959999,32.411613,161300
2016-10-10,36.930000,37.400002,36.860001,37.119999,32.551926,73100
2016-10-11,37.020000,37.310001,36.910000,37.310001,32.718536,497600
2016-10-12,37.060001,37.389999,36.869999,37.320000,32.727310,150000
2016-10-13,37.130001,37.360001,36.689999,37.200001,32.622082,639100
