Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,39.250000,39.400002,39.130001,39.240002,36.308765,9000
2016-03-23,39.369999,39.369999,39.009998,39.009998,36.095940,24200
2016-03-24,39.110001,39.349998,39.110001,39.290001,36.355026,14600
2016-03-28,39.400002,39.529999,39.299999,39.369999,36.429050,35200
2016-03-29,39.590000,40.250000,39.549999,40.110001,37.113770,19100
2016-03-30,40.419998,40.630001,40.250000,40.290001,37.280327,38200
2016-03-31,40.540001,40.540001,40.150002,40.200001,37.197056,17200
2016-04-01,39.830002,40.590000,39.830002,40.540001,37.511654,273900
2016-04-04,40.590000,40.779999,40.450001,40.520000,37.493145,74000
2016-04-05,39.990002,40.290001,39.950001,40.119999,37.123020,99500
2016-04-06,40.130001,40.560001,40.130001,40.540001,37.511654,19900
2016-04-07,40.279999,40.279999,39.660000,39.770000,36.799168,63000
2016-04-08,40.279999,40.380001,40.169998,40.220001,37.215557,13900
2016-04-11,40.689999,40.730000,40.400002,40.570000,37.539410,53900
2016-04-12,40.459999,40.529999,40.070000,40.430000,37.409866,19200
2016-04-13,40.500000,40.669998,40.349998,40.660000,37.622692,12100
2016-04-14,40.419998,40.470001,40.090000,40.349998,37.335835,24500
2016-04-15,40.000000,40.189999,39.880001,40.080002,37.086006,20600
2016-04-18,39.950001,40.230000,39.939999,40.040001,37.049000,92400
2016-04-19,40.310001,40.770000,40.189999,40.380001,37.363605,139100
2016-04-20,40.000000,40.160000,39.869999,39.869999,36.891693,13100
2016-04-21,39.759998,39.810001,39.439999,39.470001,36.521576,28400
2016-04-22,39.730000,40.080002,39.200001,39.360001,36.419796,27900
2016-04-25,39.500000,39.790001,39.470001,39.700001,36.734398,22800
2016-04-26,40.099998,40.209999,39.959999,39.990002,37.002739,34100
2016-04-27,40.110001,40.570000,40.110001,40.470001,37.446884,13200
2016-04-28,40.049999,40.090000,39.450001,39.770000,36.799168,13300
2016-04-29,39.740002,40.110001,39.740002,39.990002,37.002739,36300
2016-05-02,40.439999,40.439999,39.930000,40.240002,37.234062,136000
2016-05-03,39.730000,39.950001,39.540001,39.540001,36.586346,35100
2016-05-04,39.090000,39.400002,39.090000,39.290001,36.355026,27900
2016-05-05,39.160000,39.160000,38.990002,39.070000,36.151459,33000
2016-05-06,38.990002,39.320000,38.990002,39.310001,36.373535,20900
2016-05-09,39.549999,39.639999,39.439999,39.500000,36.549339,24700
2016-05-10,39.480000,39.720001,39.480000,39.720001,36.752911,8800
2016-05-11,39.610001,39.770000,39.389999,39.439999,36.493816,24900
