Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,29.290001,29.620001,29.290001,29.530001,25.983418,665200
2016-03-23,29.620001,29.660000,29.430000,29.450001,25.913023,639100
2016-03-24,29.120001,29.200001,29.030001,29.160000,25.657856,746600
2016-03-28,29.299999,29.410000,29.230000,29.270000,25.754644,600100
2016-03-29,29.110001,29.629999,29.090000,29.629999,26.071407,1076700
2016-03-30,29.790001,29.959999,29.790001,29.820000,26.238588,443500
2016-03-31,29.780001,29.940001,29.709999,29.730000,26.159395,1554400
2016-04-01,29.270000,29.580000,29.230000,29.570000,26.018614,1020800
2016-04-04,29.719999,29.750000,29.600000,29.629999,26.071407,811500
2016-04-05,29.410000,29.500000,29.350000,29.379999,25.851433,554600
2016-04-06,29.570000,30.030001,29.549999,30.020000,26.414570,793300
2016-04-07,29.770000,29.900000,29.650000,29.700001,26.132999,956500
2016-04-08,30.000000,30.129999,29.920000,30.049999,26.440962,2238500
2016-04-11,30.090000,30.180000,29.870001,29.879999,26.291382,909600
2016-04-12,29.950001,30.209999,29.799999,30.170000,26.546551,765700
2016-04-13,30.389999,30.420000,30.260000,30.400000,26.748926,503700
2016-04-14,30.570000,30.650000,30.480000,30.549999,26.880913,1391200
2016-04-15,30.400000,30.590000,30.400000,30.480000,26.819323,1014300
2016-04-18,30.450001,30.770000,30.450001,30.719999,27.030495,706100
2016-04-19,31.110001,31.309999,31.059999,31.270000,27.514441,483900
2016-04-20,31.170000,31.240000,31.070000,31.120001,27.382460,1055500
2016-04-21,30.830000,30.879999,30.670000,30.730000,27.039293,1251900
2016-04-22,30.540001,30.650000,30.510000,30.590000,26.916113,1102800
2016-04-25,30.549999,30.580000,30.480000,30.559999,26.889711,922800
2016-04-26,30.700001,30.730000,30.580000,30.610001,26.933706,356000
2016-04-27,30.650000,30.809999,30.570000,30.740000,27.048096,730300
2016-04-28,30.639999,30.860001,30.610001,30.629999,26.951305,991300
2016-04-29,30.680000,30.760000,30.530001,30.610001,26.933706,1498200
2016-05-02,30.799999,31.010000,30.780001,30.930000,27.215275,983100
2016-05-03,30.709999,30.709999,30.450001,30.469999,26.810522,557500
2016-05-04,30.240000,30.260000,30.010000,30.080000,26.467361,633600
2016-05-05,29.930000,29.980000,29.690001,29.799999,26.220989,1098400
2016-05-06,29.600000,29.770000,29.559999,29.770000,26.194592,582200
2016-05-09,29.900000,30.020000,29.900000,29.930000,26.335379,430500
2016-05-10,30.100000,30.299999,30.100000,30.250000,26.616947,478600
2016-05-11,30.139999,30.330000,30.139999,30.200001,26.572950,791500
2016-05-12,30.420000,30.480000,30.139999,30.240000,26.608145,772800
2016-05-13,30.090000,30.240000,29.920000,29.959999,26.361773,787500
2016-05-16,29.930000,30.180000,29.870001,30.180000,26.555351,1015100
2016-05-17,30.070000,30.230000,29.889999,29.930000,26.335379,974800
2016-05-18,29.860001,30.200001,29.770000,29.940001,26.344179,1634500
2016-05-19,29.840000,29.900000,29.700001,29.820000,26.238588,1354200
2016-05-20,30.000000,30.100000,29.969999,30.059999,26.449759,866000
2016-05-23,30.070000,30.170000,29.980000,30.120001,26.502560,660800
2016-05-24,30.209999,30.469999,30.209999,30.410000,26.757725,621800
2016-05-25,30.540001,30.629999,30.510000,30.570000,26.898512,629900
2016-05-26,30.770000,30.860001,30.740000,30.790001,27.092091,646700
2016-05-27,30.870001,30.930000,30.790001,30.840000,27.136084,692700
2016-05-31,30.770000,30.860001,30.490000,30.540001,26.872116,966600
2016-06-01,30.620001,30.730000,30.600000,30.680000,26.995300,706900
2016-06-02,30.610001,30.780001,30.590000,30.780001,27.083292,1152900
2016-06-03,30.809999,30.969999,30.719999,30.930000,27.215275,853300
2016-06-06,31.040001,31.170000,31.000000,31.070000,27.338463,938100
2016-06-07,31.389999,31.440001,31.340000,31.340000,27.576035,704500
2016-06-08,31.440001,31.459999,31.350000,31.400000,27.628828,564700
2016-06-09,31.040001,31.090000,30.920000,30.980000,27.259272,456600
2016-06-10,30.450001,30.510000,30.180000,30.219999,26.590548,535700
2016-06-13,29.809999,29.990000,29.639999,29.719999,26.150597,917500
2016-06-14,29.520000,29.580000,29.280001,29.420000,25.886627,1007400
2016-06-15,29.670000,29.770000,29.500000,29.540001,25.992216,871400
2016-06-16,29.230000,29.629999,29.020000,29.620001,26.062607,1482200
2016-06-17,29.870001,30.020000,29.709999,29.990000,26.388170,1223800
2016-06-20,30.580000,30.580000,30.299999,30.320000,26.678537,1213600
2016-06-21,30.510000,30.809999,30.420000,30.610001,26.933706,1269600
2016-06-22,29.860001,30.059999,29.750000,29.770000,26.891251,1830200
2016-06-23,30.209999,30.480000,30.049999,30.430000,27.487431,1266800
2016-06-24,28.709999,29.170000,28.309999,28.309999,25.572433,2762100
2016-06-27,28.260000,28.260000,27.700001,28.059999,25.346607,2164100
2016-06-28,28.570000,28.690001,28.360001,28.690001,25.915689,1439200
2016-06-29,29.000000,29.180000,28.980000,29.080000,26.267975,1429700
2016-06-30,29.290001,29.660000,29.270000,29.650000,26.782858,1648700
2016-07-01,29.760000,29.830000,29.730000,29.809999,26.927385,959000
2016-07-05,29.270000,29.290001,28.959999,29.059999,26.249907,768400
2016-07-06,28.830000,29.160000,28.719999,29.139999,26.322172,1600700
2016-07-07,29.129999,29.270000,28.969999,29.059999,26.249907,807200
2016-07-08,29.200001,29.330000,29.120001,29.299999,26.466702,741900
2016-07-11,29.540001,29.690001,29.530001,29.600000,26.737694,593000
2016-07-12,29.690001,29.750000,29.580000,29.580000,26.719624,625300
2016-07-13,29.719999,29.809999,29.660000,29.690001,26.818989,719800
2016-07-14,29.940001,30.010000,29.910000,29.950001,27.053848,630300
2016-07-15,29.820000,29.850000,29.730000,29.799999,26.918352,788100
2016-07-18,29.780001,29.940001,29.750000,29.870001,26.981585,832800
2016-07-19,29.600000,29.680000,29.559999,29.639999,26.773825,422600
2016-07-20,29.760000,29.900000,29.690001,29.809999,26.927385,801900
2016-07-21,29.790001,29.840000,29.680000,29.709999,26.837055,538500
2016-07-22,29.900000,29.900000,29.730000,29.790001,26.909319,842200
2016-07-25,29.940001,29.940001,29.750000,29.809999,26.927385,1424700
2016-07-26,29.809999,29.860001,29.700001,29.809999,26.927385,766500
2016-07-27,29.830000,29.959999,29.580000,29.889999,26.999649,953200
2016-07-28,29.920000,29.930000,29.629999,29.740000,26.864153,793700
2016-07-29,30.090000,30.360001,30.070000,30.209999,27.288706,1291200
2016-08-01,30.200001,30.290001,30.049999,30.070000,27.162241,1441200
2016-08-02,30.120001,30.120001,29.879999,30.000000,27.099012,817600
