Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,52.119999,52.570000,52.060001,52.410000,47.180008,1645000
2016-03-23,51.910000,51.939999,51.560001,51.560001,46.414837,1916000
2016-03-24,51.419998,51.599998,51.330002,51.560001,46.414837,1666500
2016-03-28,51.549999,51.720001,51.549999,51.580002,46.432842,960400
2016-03-29,51.770000,52.700001,51.759998,52.700001,47.441074,1893000
2016-03-30,53.439999,53.560001,53.230000,53.290001,47.972198,2405200
2016-03-31,53.200001,53.310001,52.759998,52.820000,47.549095,2635600
2016-04-01,51.380001,52.169998,51.259998,52.060001,46.864937,2125400
2016-04-04,52.029999,52.180000,51.680000,51.689999,46.531853,1828800
2016-04-05,50.889999,51.020000,50.700001,50.720001,45.658661,2292300
2016-04-06,51.189999,51.639999,51.070000,51.630001,46.477844,2358800
2016-04-07,51.200001,51.230000,50.779999,50.830002,45.757683,2963700
2016-04-08,51.779999,51.779999,51.310001,51.450001,46.315804,2324700
2016-04-11,51.849998,52.209999,51.849998,51.970001,46.783916,3101600
2016-04-12,52.119999,52.570000,51.939999,52.459999,47.225021,2772500
2016-04-13,53.110001,53.330002,52.860001,53.060001,47.765152,5638700
2016-04-14,53.150002,53.160000,52.869999,52.939999,47.657120,2499600
2016-04-15,53.040001,53.099998,52.790001,52.810001,47.540092,5019900
2016-04-18,52.939999,53.240002,52.770000,53.209999,47.900181,3432800
2016-04-19,54.000000,54.270000,53.889999,54.020000,48.629349,3235300
2016-04-20,53.669998,53.910000,53.570000,53.750000,48.386292,1518300
2016-04-21,53.910000,53.919998,53.360001,53.450001,48.116230,2396000
2016-04-22,53.150002,53.230000,52.840000,52.880001,47.603107,1887400
2016-04-25,52.919998,52.919998,52.639999,52.709999,47.450069,2206100
2016-04-26,53.139999,53.230000,52.939999,53.119999,47.819157,3286700
2016-04-27,52.889999,53.250000,52.700001,53.169998,47.864162,2037800
2016-04-28,52.619999,53.040001,52.549999,52.849998,47.576103,4224200
2016-04-29,52.849998,52.849998,51.919998,52.250000,47.035976,3920400
2016-05-02,52.480000,52.619999,52.279999,52.580002,47.333042,2416500
