Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,67.410004,67.779999,67.089996,67.480003,57.840462,274200
2016-03-23,67.639999,67.769997,66.949997,67.239998,57.634750,257300
2016-03-24,67.080002,67.379997,66.680000,67.309998,57.694756,182400
2016-03-28,66.070000,66.239998,64.900002,66.000000,56.571884,204900
2016-03-29,66.110001,67.000000,66.000000,66.820000,57.274750,317400
2016-03-30,67.779999,67.980003,67.360001,67.449997,57.814754,183600
2016-03-31,67.680000,67.860001,67.269997,67.389999,57.763325,214700
2016-04-01,66.650002,67.540001,66.269997,67.459999,57.823318,304600
2016-04-04,67.269997,67.279999,66.419998,66.589996,57.077599,141000
2016-04-05,65.339996,65.620003,64.900002,65.040001,55.749020,246000
2016-04-06,65.080002,66.120003,64.930000,66.120003,56.674747,268900
2016-04-07,64.300003,64.629997,64.010002,64.180000,55.011868,178400
2016-04-08,65.680000,65.940002,65.089996,65.330002,55.997601,104100
2016-04-11,65.769997,66.000000,65.559998,65.699997,56.314735,101600
2016-04-12,66.320000,67.129997,66.150002,67.029999,57.454750,300400
2016-04-13,67.500000,67.940002,67.419998,67.660004,57.994755,225300
2016-04-14,67.570000,67.870003,67.459999,67.550003,57.900471,308800
2016-04-15,67.459999,67.559998,67.169998,67.250000,57.643330,80800
2016-04-18,67.559998,68.000000,67.250000,67.940002,58.234756,153700
2016-04-19,68.500000,69.180000,68.419998,69.010002,59.151901,271500
2016-04-20,68.699997,69.389999,68.680000,69.050003,59.186192,211500
2016-04-21,68.959999,69.129997,68.260002,69.129997,59.254765,154000
2016-04-22,68.190002,68.510002,67.860001,67.900002,58.200466,185500
2016-04-25,67.879997,68.050003,67.500000,67.680000,58.011894,156100
2016-04-26,68.239998,68.559998,68.089996,68.480003,58.697613,205100
2016-04-27,67.970001,68.660004,67.849998,68.470001,58.689034,412000
2016-04-28,67.559998,68.180000,67.500000,67.720001,58.046185,244700
2016-04-29,67.870003,68.099998,67.269997,67.949997,58.243328,235100
2016-05-02,68.169998,68.169998,67.660004,68.029999,58.311901,161900
2016-05-03,67.519997,67.599998,67.040001,67.110001,57.523327,294300
2016-05-04,66.629997,66.830002,65.910004,66.080002,56.640450,394200
2016-05-05,66.180000,66.669998,65.699997,65.930000,56.511887,247600
2016-05-06,65.720001,66.430000,65.680000,66.040001,56.606171,245300
2016-05-09,66.459999,66.820000,66.040001,66.339996,56.863308,521000
2016-05-10,66.489998,66.989998,66.489998,66.949997,57.386169,192900
2016-05-11,66.370003,66.620003,66.059998,66.260002,56.794750,135500
2016-05-12,66.980003,67.370003,66.639999,66.860001,57.309040,218400
2016-05-13,66.559998,66.980003,66.120003,66.269997,56.803307,170500
2016-05-16,67.180000,67.389999,67.010002,67.110001,57.523327,130600
2016-05-17,66.970001,67.400002,66.660004,66.959999,57.394745,90100
2016-05-18,66.690002,67.449997,66.160004,66.620003,57.103313,182700
2016-05-19,65.900002,65.919998,65.269997,65.650002,56.271881,177900
2016-05-20,65.970001,66.430000,65.699997,66.290001,56.820457,301500
2016-05-23,65.620003,65.959999,65.480003,65.580002,56.211884,187500
2016-05-24,65.730003,66.339996,65.730003,66.150002,56.700455,236300
2016-05-25,66.449997,66.949997,66.449997,66.790001,57.249035,234300
