Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,51.189999,51.689999,50.919998,51.689999,48.599762,60700
2017-03-27,51.450001,51.770000,51.130001,51.250000,48.186066,109700
2017-04-03,51.520000,52.000000,51.130001,51.470001,48.392910,189100
2017-04-10,51.189999,51.430000,50.830002,50.849998,47.809978,199600
2017-04-17,50.750000,51.070000,50.419998,50.900002,47.856995,127000
2017-04-24,51.320000,51.970001,51.180000,51.750000,48.656170,67400
2017-05-01,51.889999,52.439999,51.590000,52.389999,49.257912,98300
2017-05-08,52.680000,53.180000,52.380001,53.090000,49.916065,109300
2017-05-15,53.330002,53.610001,51.970001,52.419998,49.286114,59000
2017-05-22,53.000000,53.000000,52.119999,52.529999,49.389542,72700
2017-05-29,52.709999,53.369999,52.299999,53.279999,50.094704,70100
2017-06-05,53.279999,53.799999,53.020000,53.590000,50.386177,42400
2017-06-12,53.299999,53.950001,53.130001,53.650002,50.442585,22600
2017-06-19,54.090000,54.520000,53.520000,54.380001,51.128944,61500
2017-06-26,54.450001,54.549999,53.889999,54.340000,51.411419,43900
2017-07-03,54.650002,54.650002,53.570000,53.709999,50.815369,76000
2017-07-10,53.700001,55.290001,53.619999,54.639999,51.695244,36600
2017-07-17,54.520000,54.549999,53.799999,54.000000,51.089737,83000
2017-07-24,53.849998,54.410000,53.540001,53.860001,50.957287,74000
2017-07-31,53.660000,53.660000,48.889999,48.889999,46.255138,82900
2017-08-07,48.820000,48.930000,46.669998,46.990002,44.457535,104600
2017-08-14,47.830002,48.200001,47.330002,47.669998,45.100887,64100
2017-08-21,47.889999,48.369999,47.689999,48.150002,45.555012,37200
2017-08-28,48.080002,48.669998,47.450001,48.279999,45.678009,87700
2017-09-04,48.070000,48.700001,47.639999,48.689999,46.065910,50700
2017-09-11,49.230000,50.470001,49.230000,49.610001,46.936333,113600
2017-09-18,50.169998,50.220001,49.700001,50.180000,47.475613,21700
2017-09-25,49.919998,50.160000,49.450001,49.980000,47.286392,60400
2017-10-02,50.099998,50.880001,49.560001,49.860001,47.172863,90000
2017-10-09,49.930000,50.090000,49.480000,49.849998,47.163399,25100
2017-10-16,49.990002,50.169998,49.439999,50.139999,47.437767,41500
2017-10-23,49.980000,50.060001,48.689999,48.930000,46.292984,25800
2017-10-30,48.919998,49.580002,47.930000,48.189999,45.592861,61400
2017-11-06,48.240002,48.540001,46.840000,46.990002,44.457535,42900
2017-11-13,46.939999,48.299999,46.919998,48.299999,45.696934,25900
2017-11-20,48.119999,49.000000,47.910000,48.889999,46.255138,28300
2017-11-27,49.000000,50.029999,48.980000,49.900002,47.210705,49400
2017-12-04,50.000000,50.169998,48.849998,49.980000,47.286392,390200
2017-12-11,49.619999,50.849998,49.349998,50.830002,48.090584,79000
2017-12-18,51.029999,51.290001,49.950001,50.860001,48.118965,97900
2017-12-25,51.049999,51.650002,50.830002,51.290001,49.198433,78800
2018-01-01,52.180000,52.889999,52.180000,52.740002,50.589306,51200
2018-01-08,52.410000,54.660000,52.330002,54.459999,52.239170,61400
2018-01-15,54.029999,54.080002,53.230000,53.770000,51.577305,90900
2018-01-22,53.480000,54.599998,53.290001,54.599998,52.373451,110100
2018-01-29,54.049999,54.419998,52.580002,52.580002,50.435837,30600
2018-02-05,52.139999,52.380001,48.709999,49.790001,47.759602,163000
2018-02-12,49.869999,51.930000,49.700001,51.830002,49.716419,88400
2018-02-19,51.959999,52.419998,51.389999,52.270000,50.138477,37700
2018-02-26,52.410000,52.759998,50.919998,51.459999,49.361500,613600
2018-03-05,51.330002,52.509998,51.320000,52.380001,50.243988,33400
2018-03-12,52.480000,53.029999,51.959999,52.150002,50.023373,99300
2018-03-19,52.029999,52.240002,49.900002,50.110001,48.066551,37200
2018-03-26,49.820000,50.330002,49.000000,49.529999,47.510204,48200
2018-04-02,49.110001,49.150002,47.570000,48.040001,46.080967,33400
2018-04-09,48.810001,50.680000,48.759998,50.200001,48.152882,56900
2018-04-16,50.830002,51.200001,50.299999,50.410000,48.354321,35900
2018-04-23,50.520000,50.619999,48.880001,49.470001,47.452652,69500
2018-04-30,49.139999,49.669998,48.930000,49.459999,47.443062,77800
2018-05-07,49.490002,50.790001,49.490002,50.330002,48.277584,22200
2018-05-14,50.730000,51.450001,50.360001,51.279999,49.188847,25400
2018-05-21,51.950001,52.500000,51.509998,52.500000,50.359097,46200
2018-05-28,52.049999,52.700001,51.209999,52.630001,50.483791,161500
2018-06-04,52.900002,53.709999,52.590000,53.709999,51.519749,66700
2018-06-11,53.619999,53.910000,52.529999,53.049999,50.886662,81300
2018-06-18,52.799999,53.119999,52.150002,52.349998,50.215210,55300
2018-06-25,52.290001,52.369999,51.330002,51.900002,50.107601,50900
2018-07-02,51.540001,52.880001,51.540001,52.750000,50.928242,115200
2018-07-09,52.919998,53.240002,52.570000,53.040001,51.208225,89400
2018-07-16,52.919998,53.299999,52.709999,53.040001,51.208225,57100
2018-07-23,52.860001,54.590000,52.770000,53.400002,51.555794,64300
2018-07-30,53.500000,53.689999,52.549999,53.220001,51.382008,229500
2018-08-06,53.360001,54.209999,53.320000,53.520000,51.671650,39000
2018-08-13,53.520000,54.880001,53.080002,54.799999,52.907436,33000
2018-08-20,55.189999,56.009998,55.020000,55.529999,53.612228,62700
2018-08-27,56.070000,56.740002,56.060001,56.599998,54.645279,115300
2018-09-03,56.270000,56.439999,55.310001,55.369999,53.457760,234900
2018-09-10,55.470001,56.759998,55.439999,56.759998,54.799755,30400
2018-09-17,57.570000,58.389999,57.320000,58.009998,56.006580,36600
2018-09-24,57.950001,57.970001,56.000000,56.009998,54.075653,143900
2018-10-01,56.580002,56.740002,55.020000,55.540001,53.621891,156900
2018-10-08,55.090000,55.090000,52.680000,53.730000,51.874393,87200
2018-10-15,53.910000,54.700001,53.599998,53.939999,52.077145,33200
2018-10-22,54.349998,54.450001,51.040001,51.570000,49.788998,78700
2018-10-29,52.110001,54.599998,50.830002,54.020000,52.154381,236400
2018-11-05,54.320000,56.400002,53.650002,55.980000,54.046692,279000
2018-11-12,56.169998,56.169998,54.560001,55.419998,53.506031,150500
2018-11-19,55.369999,55.369999,53.060001,53.590000,51.739231,32300
2018-11-26,53.970001,54.950001,53.540001,54.689999,52.801243,45200
2018-12-03,55.090000,55.230000,52.419998,52.439999,50.628948,58900
2018-12-10,52.040001,52.560001,51.259998,51.320000,49.547626,80900
2018-12-17,51.220001,51.220001,48.000000,48.029999,46.371254,176900
2018-12-24,46.779999,48.900002,46.470001,48.490002,46.887081,102700
2018-12-31,48.419998,49.849998,48.060001,49.820000,48.173115,205800
2019-01-07,50.139999,51.389999,50.130001,51.169998,49.478485,42700
2019-01-14,50.750000,51.779999,50.459999,51.540001,49.836258,33400
2019-01-21,51.299999,52.709999,51.139999,52.580002,50.841873,70600
2019-01-28,52.360001,54.080002,52.360001,53.840000,52.060234,48900
2019-02-04,54.080002,54.860001,52.650002,53.049999,51.296345,190400
2019-02-11,53.290001,54.590000,53.189999,54.590000,52.785439,59500
2019-02-18,54.410000,54.900002,54.189999,54.639999,52.833778,24400
2019-02-25,55.250000,55.410000,54.139999,54.439999,52.640388,45200
2019-03-04,54.810001,54.810001,53.099998,53.259998,51.499397,374600
2019-03-11,53.270000,54.669998,53.270000,54.669998,52.862793,24100
2019-03-18,54.650002,55.500000,54.500000,54.549999,52.746758,96100
2019-03-25,53.950001,54.459999,53.630001,54.060001,52.272957,58300
2019-04-01,54.709999,55.070000,54.400002,54.779999,52.969151,143900
2019-04-08,54.900002,56.200001,54.770000,56.150002,54.293865,35100
2019-04-15,56.520000,56.950001,54.869999,55.200001,53.375271,42500
2019-04-22,55.439999,56.209999,55.240002,56.110001,54.255192,33200
2019-04-29,56.259998,56.580002,55.439999,56.230000,54.371220,49100
2019-05-06,55.380001,55.959999,54.869999,55.720001,53.878075,475300
2019-05-13,54.389999,55.060001,53.240002,54.779999,52.969151,48900
2019-05-20,54.450001,54.669998,53.349998,53.750000,51.973206,100900
2019-05-27,54.180000,54.180000,52.040001,52.110001,50.387417,96900
2019-06-03,52.240002,53.990002,51.860001,53.799999,52.021549,486800
2019-06-10,53.610001,54.090000,52.910000,53.000000,51.247993,135300
2019-06-17,52.830002,54.119999,52.660000,53.419998,51.654110,88600
2019-06-24,53.410000,54.529999,53.230000,54.529999,52.897087,40000
2019-07-01,54.900002,55.430000,54.450001,54.990002,53.343311,90100
2019-07-08,54.820000,55.599998,54.610001,55.509998,53.847740,196300
2019-07-15,55.279999,55.279999,54.020000,54.430000,52.800087,99600
2019-07-22,54.509998,55.439999,54.330002,55.240002,53.585831,67200
2019-07-29,55.290001,56.169998,54.950001,55.250000,53.595528,103800
2019-08-05,55.000000,56.139999,54.070000,55.599998,53.935047,514800
2019-08-12,55.250000,55.560001,52.619999,53.220001,51.626316,70400
2019-08-19,53.840000,54.939999,53.799999,53.810001,52.198650,62900
2019-08-26,53.830002,53.840000,52.529999,53.150002,51.558414,41000
2019-09-02,52.680000,53.599998,52.529999,53.430000,51.830029,44800
2019-09-09,53.540001,53.900002,53.220001,53.740002,52.130749,15000
2019-09-16,53.400002,54.240002,53.299999,53.689999,52.082237,25900
2019-09-23,53.730000,54.549999,53.509998,54.099998,52.479958,34200
2019-09-30,54.209999,54.910000,53.410000,54.910000,53.265709,112800
2019-10-07,54.619999,55.369999,53.860001,55.200001,53.547028,74200
2019-10-14,55.040001,55.169998,54.660000,54.669998,53.032898,34400
2019-10-21,54.869999,55.470001,54.570000,55.439999,53.779839,23600
2019-10-28,55.759998,56.470001,55.709999,56.360001,54.672291,35900
2019-11-04,56.529999,57.320000,56.529999,57.320000,55.603539,30700
2019-11-11,57.040001,58.099998,56.820000,58.070000,56.331081,46700
2019-11-18,58.099998,58.169998,57.480000,57.630001,55.904263,26500
2019-11-25,58.029999,58.990002,57.959999,58.790001,57.029526,17900
2019-12-02,58.250000,58.250000,57.080002,57.770000,56.040070,68700
2019-12-09,57.799999,58.209999,57.700001,58.049999,56.311680,17500
2019-12-16,57.040001,57.139999,56.470001,57.000000,55.293125,29000
2019-12-23,56.709999,57.570000,56.500000,57.389999,56.659199,26300
2019-12-30,57.470001,58.200001,57.099998,57.630001,56.896145,73800
2020-01-06,57.470001,58.150002,57.360001,58.080002,57.340412,41500
2020-01-13,57.930000,59.650002,57.930000,59.250000,58.495514,40500
2020-01-20,59.279999,60.320000,59.189999,59.740002,58.979275,64300
2020-01-27,58.470001,59.529999,58.470001,58.669998,57.922897,72900
2020-02-03,57.880001,60.830002,57.880001,60.540001,59.769089,56300
2020-02-10,59.880001,61.389999,59.880001,60.549999,59.778957,57000
2020-02-17,60.509998,61.750000,60.299999,60.400002,59.630871,38500
2020-02-24,57.980000,59.130001,53.840000,54.970001,54.270012,171000
2020-03-02,55.270000,56.529999,51.820000,52.250000,51.584652,140800
