Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,41.450001,41.750000,41.259998,41.439999,35.655384,123900
2017-03-27,41.410000,42.290001,41.310001,42.220001,36.326508,354100
2017-04-03,42.180000,42.860001,42.130001,42.150002,36.266281,257600
2017-04-10,42.160000,42.549999,41.849998,42.310001,36.403946,241500
2017-04-17,42.570000,42.900002,42.169998,42.439999,36.515793,875800
2017-04-24,42.639999,42.840000,42.160000,42.580002,36.636246,243500
2017-05-01,42.770000,43.150002,42.310001,43.070000,37.057850,309300
2017-05-08,43.240002,43.490002,42.930000,43.099998,37.083664,370400
2017-05-15,43.369999,43.369999,42.720001,43.220001,37.186913,425800
2017-05-22,43.230000,44.369999,43.230000,44.299999,38.116150,161500
2017-05-29,44.150002,45.180000,44.139999,45.180000,38.873314,160400
2017-06-05,45.200001,45.709999,45.110001,45.160000,38.856106,210900
2017-06-12,45.299999,46.369999,44.900002,46.369999,39.897202,199400
2017-06-19,46.549999,46.680000,44.970001,45.610001,39.243294,243800
2017-06-26,46.049999,46.520000,45.740002,46.259998,40.542461,244200
2017-07-03,47.000000,47.000000,45.549999,46.189999,40.481110,213000
2017-07-10,45.669998,46.770000,45.310001,46.730000,40.954369,195500
2017-07-17,46.759998,47.290001,46.520000,47.209999,41.375050,227200
2017-07-24,47.250000,47.840000,46.770000,47.349998,41.497742,83800
2017-07-31,47.360001,47.779999,47.200001,47.490002,41.620438,458300
2017-08-07,47.040001,47.410000,46.000000,46.660000,40.893017,150800
2017-08-14,46.669998,47.700001,46.500000,47.500000,41.629196,221100
2017-08-21,47.650002,47.720001,46.660000,46.970001,41.164711,90100
2017-08-28,46.860001,47.000000,46.209999,46.270000,40.551216,112100
2017-09-04,46.369999,47.189999,46.090000,47.049999,41.234814,126200
2017-09-11,47.070000,47.310001,46.450001,46.700001,40.928074,124500
2017-09-18,46.509998,47.910000,46.299999,47.349998,41.497742,131200
2017-09-25,47.230000,48.000000,46.480000,47.119999,41.296165,158800
2017-10-02,46.900002,46.950001,46.200001,46.299999,40.577518,179000
