Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,18.090000,18.299999,18.049999,18.270000,16.134703,290400
2017-03-27,18.219999,18.330000,18.129999,18.170000,16.046389,373700
2017-04-03,18.280001,18.540001,18.129999,18.340000,16.196524,1143600
2017-04-10,18.360001,18.410000,18.090000,18.139999,16.019897,230900
2017-04-17,18.240000,18.420000,18.049999,18.309999,16.170027,368800
2017-04-24,19.010000,19.660000,18.980000,19.590000,17.300430,516200
2017-05-01,19.670000,20.250000,19.549999,20.230000,17.865629,553800
2017-05-08,19.969999,20.209999,19.910000,20.209999,17.847967,790500
2017-05-15,20.469999,21.170000,20.209999,21.139999,18.669275,814500
2017-05-22,21.410000,21.639999,21.340000,21.580000,19.057850,1399700
2017-05-29,21.270000,21.600000,21.110001,21.590000,19.066683,1298100
2017-06-05,21.410000,21.700001,21.370001,21.639999,19.110836,1335500
2017-06-12,21.500000,21.580000,20.910000,21.120001,18.651613,1266700
2017-06-19,21.379999,21.410000,20.430000,20.500000,18.104074,529500
2017-06-26,20.660000,21.320000,20.580000,21.240000,19.036697,1179300
2017-07-03,21.200001,21.500000,21.200001,21.340000,19.126326,600500
2017-07-10,21.370001,21.940001,21.370001,21.920000,19.646156,688100
2017-07-17,21.940001,22.360001,21.940001,22.209999,19.906075,706000
2017-07-24,22.059999,22.820000,22.010000,22.809999,20.443832,805000
2017-07-31,22.780001,23.219999,22.709999,23.100000,20.703753,1175400
2017-08-07,23.230000,23.299999,22.379999,22.469999,20.139103,1483500
2017-08-14,22.790001,22.840000,22.389999,22.430000,20.103254,348000
2017-08-21,22.350000,23.030001,22.260000,22.959999,20.578276,276700
2017-08-28,22.820000,23.080000,22.580000,23.010000,20.623087,560600
2017-09-04,23.020000,23.299999,22.780001,23.190001,20.784416,817100
2017-09-11,23.230000,23.430000,23.160000,23.389999,20.963667,487800
2017-09-18,23.490000,23.559999,23.260000,23.500000,21.062258,278500
2017-09-25,23.299999,23.440001,22.860001,23.420000,20.990555,297000
2017-10-02,23.330000,23.490000,23.270000,23.410000,20.981596,1147800
2017-10-09,23.379999,23.990000,23.360001,23.900000,21.420765,358300
2017-10-16,23.900000,24.100000,23.700001,23.950001,21.465578,283100
2017-10-23,23.940001,24.120001,23.450001,23.799999,21.331137,507900
2017-10-30,23.799999,24.209999,23.780001,23.840000,21.366991,887500
2017-11-06,23.730000,24.000000,23.469999,23.830000,21.358027,1339300
2017-11-13,23.660000,23.870001,23.480000,23.549999,21.107069,345100
2017-11-20,23.480000,24.200001,23.389999,24.020000,21.528316,398500
2017-11-27,23.889999,24.139999,23.740000,24.059999,21.564165,860700
2017-12-04,24.059999,24.090000,23.420000,23.790001,21.322176,1315800
2017-12-11,23.809999,23.879999,23.360001,23.400000,20.972631,637300
2017-12-18,24.100000,24.580000,24.100000,24.549999,22.003338,361900
2017-12-25,24.549999,24.799999,24.440001,24.639999,22.257328,630000
2018-01-01,24.889999,25.910000,24.860001,25.860001,23.359356,804800
2018-01-08,25.690001,26.410000,25.520000,26.389999,23.838104,479900
2018-01-15,26.400000,26.889999,26.400000,26.820000,24.226522,405900
2018-01-22,27.040001,27.410000,27.000000,27.260000,24.623976,360500
2018-01-29,26.980000,27.010000,26.200001,26.219999,23.684544,906400
2018-02-05,25.850000,25.920000,24.059999,24.690001,22.302494,2256200
2018-02-12,24.940001,25.670000,24.690001,25.299999,22.853508,431700
2018-02-19,25.150000,25.400000,24.959999,25.160000,22.727045,892900
2018-02-26,25.190001,25.520000,24.760000,25.010000,22.591551,1135900
2018-03-05,24.990000,25.799999,24.990000,25.799999,23.305157,1325200
2018-03-12,25.760000,25.879999,25.290001,25.370001,22.916737,361400
2018-03-19,25.559999,26.000000,25.129999,25.170000,22.736078,313200
2018-03-26,25.639999,25.760000,25.230000,25.360001,22.907703,262300
2018-04-02,25.320000,25.660000,24.879999,25.320000,22.871572,1074400
2018-04-09,25.100000,25.559999,24.969999,25.430000,22.970938,367100
2018-04-16,25.660000,25.870001,25.430000,25.670000,23.187729,532200
2018-04-23,25.680000,25.860001,25.170000,25.430000,22.970938,284800
2018-04-30,25.270000,25.340000,24.580000,24.930000,22.519287,477400
2018-05-07,24.959999,25.430000,24.620001,25.389999,22.934801,723800
2018-05-14,25.340000,25.340000,24.559999,24.650000,22.266361,575700
2018-05-21,24.790001,24.900000,23.600000,23.740000,21.444359,1596200
2018-05-28,23.459999,23.889999,23.059999,23.709999,21.417257,706100
2018-06-04,23.750000,24.430000,23.209999,24.020000,21.697283,845500
2018-06-11,24.219999,24.360001,23.610001,23.730000,21.435322,1794500
2018-06-18,23.440001,23.469999,22.389999,22.780001,20.577188,780400
2018-06-25,22.700001,22.730000,22.250000,22.650000,20.899323,560200
2018-07-02,22.340000,22.809999,22.299999,22.750000,20.991596,776300
2018-07-09,22.870001,23.030001,22.440001,22.780001,21.019276,851100
2018-07-16,22.920000,23.100000,22.700001,23.070000,21.286860,327700
2018-07-23,23.040001,23.670000,23.000000,23.500000,21.683624,242500
2018-07-30,23.680000,23.930000,23.400000,23.570000,21.748215,1240500
2018-08-06,23.530001,23.820000,22.430000,22.530001,20.788599,2915300
2018-08-13,22.330000,22.459999,21.570000,22.260000,20.539467,526000
2018-08-20,22.200001,22.860001,22.139999,22.760000,21.000826,525200
2018-08-27,22.940001,23.290001,22.709999,22.799999,21.037731,114100
2018-09-03,22.690001,22.830000,22.379999,22.420000,20.687101,411000
2018-09-10,22.639999,23.219999,22.559999,23.129999,21.342222,1055500
2018-09-17,23.260000,23.780001,23.120001,23.580000,21.757442,49100
2018-09-24,23.700001,23.719999,22.850000,22.879999,21.111547,166600
2018-10-01,23.080000,23.160000,22.650000,22.780001,21.019276,1273000
2018-10-08,22.430000,22.629999,21.770000,21.910000,20.216522,679700
2018-10-15,21.990000,22.469999,21.809999,21.930000,20.234978,413000
2018-10-22,22.010000,22.010000,20.270000,20.629999,19.035454,416100
2018-10-29,20.950001,21.650000,20.480000,21.570000,19.902798,377300
2018-11-05,21.540001,21.900000,21.340000,21.469999,19.810528,538200
2018-11-12,21.299999,21.299999,20.820000,21.100000,19.469130,195400
2018-11-19,21.139999,21.139999,20.160000,20.200001,18.638691,132800
2018-11-26,20.309999,20.700001,20.100000,20.660000,19.063135,256200
2018-12-03,20.940001,20.969999,19.590000,19.670000,18.149658,131300
2018-12-10,19.540001,19.770000,19.129999,19.340000,17.845163,828300
2018-12-17,19.250000,19.290001,17.730000,17.730000,16.359602,571100
2018-12-24,17.670000,18.430000,17.469999,18.250000,17.062195,437500
2018-12-31,18.469999,19.090000,18.180000,19.059999,17.819477,308400
2019-01-07,19.219999,19.780001,19.139999,19.410000,18.146698,225800
2019-01-14,19.100000,19.850000,19.100000,19.790001,18.501965,107300
2019-01-21,19.520000,19.980000,19.379999,19.900000,18.604803,90500
2019-01-28,19.740000,20.200001,19.730000,20.020000,18.716997,125500
2019-02-04,20.000000,20.280001,19.590000,19.730000,18.445868,437700
2019-02-11,19.639999,19.990000,19.500000,19.990000,18.688946,66800
2019-02-18,19.870001,20.309999,19.820000,19.980000,18.679598,55000
2019-02-25,20.110001,20.350000,19.900000,20.260000,18.941374,155300
2019-03-04,20.270000,20.270000,19.180000,19.230000,17.978413,76800
2019-03-11,19.320000,20.080000,19.230000,20.030001,18.726345,506000
2019-03-18,20.200001,20.480000,19.950001,19.950001,18.651550,59700
2019-03-25,19.910000,20.040001,19.740000,19.889999,18.595453,39900
2019-04-01,20.100000,20.700001,20.049999,20.639999,19.296642,221400
2019-04-08,20.629999,21.379999,20.490000,21.330000,19.941732,355100
2019-04-15,21.420000,21.730000,21.379999,21.639999,20.231556,217000
2019-04-22,21.690001,21.719999,21.059999,21.100000,19.726704,50800
2019-04-29,21.090000,21.290001,20.799999,20.980000,19.614511,418800
2019-05-06,20.469999,20.700001,20.110001,20.459999,19.128359,41900
2019-05-13,20.090000,20.330000,19.980000,20.139999,18.829185,228700
2019-05-20,20.100000,20.260000,19.690001,19.980000,18.679598,48100
2019-05-27,19.900000,19.940001,19.440001,19.500000,18.230839,184900
2019-06-03,19.469999,20.100000,19.450001,20.080000,18.773088,381500
