Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,61.900002,62.549999,61.860001,62.470001,56.912655,6333900
2017-03-27,62.259998,62.540001,61.869999,61.869999,56.366035,10064500
2017-04-03,61.860001,62.110001,60.310001,60.349998,54.981251,9557400
2017-04-10,59.830002,60.299999,58.900002,59.919998,54.589504,13927600
2017-04-17,60.139999,61.009998,59.299999,60.959999,55.536983,11561500
2017-04-24,61.599998,62.480000,61.139999,62.099998,56.575573,11861200
2017-05-01,62.080002,63.430000,62.049999,63.410000,57.769032,10955000
2017-05-08,65.190002,66.110001,64.440002,65.879997,60.019299,20863800
2017-05-15,66.419998,66.809998,64.870003,66.769997,60.830124,12978200
2017-05-22,66.900002,68.489998,66.620003,68.440002,62.351559,12339700
2017-05-29,67.349998,68.779999,67.239998,68.660004,62.551998,10786100
2017-06-05,68.559998,68.739998,67.559998,67.940002,61.896042,13910400
2017-06-12,67.250000,69.010002,66.980003,67.269997,61.285645,16557200
2017-06-19,67.760002,68.160004,66.699997,68.040001,61.987144,10705500
2017-06-26,68.570000,68.599998,66.989998,67.809998,61.777603,8877700
2017-07-03,67.750000,68.000000,66.540001,66.949997,60.994110,7522000
2017-07-10,67.019997,70.519997,67.019997,70.430000,64.164536,10271700
2017-07-17,70.089996,71.500000,69.919998,71.459999,65.102898,8961500
2017-07-24,71.669998,71.779999,69.330002,69.639999,63.444809,13182500
2017-07-31,69.879997,70.379997,68.449997,69.180000,63.025734,8908100
2017-08-07,69.080002,69.470001,65.760002,66.019997,60.146843,16689900
2017-08-14,66.900002,67.860001,66.739998,67.449997,61.449627,15923900
2017-08-21,67.489998,69.459999,67.330002,69.300003,63.135063,10786000
2017-08-28,69.169998,69.230003,68.019997,68.660004,62.551998,10459600
2017-09-04,67.110001,67.970001,66.459999,67.349998,61.358528,14718300
2017-09-11,68.029999,68.879997,67.830002,68.730003,62.615765,9999300
2017-09-18,69.980003,70.250000,69.169998,69.330002,63.162384,9636800
2017-09-25,69.300003,69.410004,67.800003,69.059998,62.916409,15708400
2017-10-02,69.139999,70.669998,69.129997,70.230003,63.982330,13798400
2017-10-09,70.089996,72.949997,69.980003,72.839996,66.360130,13849600
2017-10-16,72.559998,72.669998,71.580002,72.580002,66.123268,11298200
2017-10-23,72.800003,73.639999,72.300003,73.519997,66.979637,9225800
2017-10-30,73.269997,76.459999,73.050003,75.790001,69.047699,11399700
2017-11-06,75.669998,75.919998,74.029999,74.410004,67.790474,10846300
2017-11-13,73.980003,76.769997,73.910004,76.220001,69.439461,12058500
2017-11-20,76.059998,77.599998,75.959999,77.400002,70.514481,8513600
2017-11-27,76.059998,76.809998,74.639999,75.070000,68.391762,14773200
2017-12-04,75.660004,75.959999,73.750000,74.480003,67.854248,10028000
2017-12-11,74.540001,75.820000,74.080002,75.089996,68.409981,9391500
2017-12-18,75.360001,75.669998,71.839996,72.570000,66.114166,9164000
2017-12-25,72.320000,75.519997,72.220001,74.930000,70.290329,5286700
2018-01-01,75.639999,77.080002,75.519997,76.989998,72.222771,8994500
2018-01-08,77.190002,78.010002,76.019997,77.900002,73.076431,11912200
2018-01-15,78.059998,78.209999,76.949997,77.680000,72.870049,13997600
2018-01-22,76.320000,79.070000,76.209999,79.040001,74.145836,14016500
2018-01-29,78.919998,78.940002,73.940002,74.040001,69.455437,13596700
2018-02-05,74.120003,75.010002,68.449997,70.570000,66.200294,32747400
2018-02-12,71.300003,76.480003,70.809998,75.739998,71.050163,18964500
2018-02-19,72.980003,74.349998,72.540001,74.279999,69.680573,12101000
2018-02-26,74.570000,75.150002,70.889999,72.300003,67.823189,18446700
2018-03-05,71.230003,76.220001,71.110001,76.199997,71.481682,18028200
2018-03-12,76.029999,76.800003,75.580002,76.279999,71.556740,14990500
2018-03-19,75.360001,76.690002,71.809998,71.830002,67.382278,16110400
2018-03-26,73.930000,75.779999,72.870003,75.449997,70.778122,14545200
2018-04-02,75.269997,75.580002,72.629997,73.169998,68.639305,15081800
2018-04-09,74.000000,74.830002,73.769997,74.339996,69.736862,11209000
2018-04-16,74.349998,76.010002,74.180000,74.519997,69.905724,10934900
2018-04-23,74.610001,76.199997,72.720001,76.089996,71.378494,16739600
2018-04-30,76.269997,76.370003,73.500000,74.320000,69.718094,13045600
2018-05-07,73.349998,75.250000,72.809998,74.970001,70.327858,12197200
2018-05-14,74.639999,74.709999,72.620003,72.989998,68.470444,14693600
2018-05-21,73.410004,74.500000,72.419998,74.120003,69.530487,16350000
2018-05-28,73.290001,73.480003,71.570000,73.480003,68.930115,14509400
2018-06-04,73.769997,74.559998,73.029999,73.470001,68.920738,15535300
2018-06-11,73.839996,73.949997,69.919998,70.199997,65.853210,14906900
2018-06-18,69.160004,69.470001,67.040001,68.080002,63.864483,16563600
2018-06-25,68.000000,68.050003,66.309998,67.709999,63.517391,13903600
2018-07-02,65.839996,66.529999,65.400002,66.160004,62.063374,9397000
2018-07-09,66.849998,67.120003,65.470001,66.199997,62.100891,11325200
2018-07-16,66.230003,66.570000,64.970001,66.330002,62.222851,10382100
2018-07-23,65.040001,66.970001,64.889999,66.580002,62.457363,15182500
2018-07-30,66.790001,67.330002,64.860001,65.959999,61.875751,11780700
2018-08-06,65.610001,66.879997,64.610001,64.709999,60.703152,10546800
2018-08-13,64.199997,64.760002,62.889999,64.629997,60.628105,15041400
2018-08-20,64.500000,66.820000,64.360001,66.769997,62.635593,9615100
2018-08-27,67.000000,67.699997,66.580002,67.320000,63.151543,12260700
2018-09-03,66.760002,66.900002,64.820000,64.900002,60.881386,10794000
2018-09-10,65.400002,66.879997,64.529999,66.620003,62.494888,18219700
2018-09-17,65.930000,68.150002,65.559998,67.879997,63.676861,13295900
2018-09-24,67.250000,68.860001,67.000000,68.269997,64.042717,17287200
2018-10-01,68.279999,68.309998,64.000000,64.370003,60.384209,13544300
2018-10-08,63.730000,64.290001,60.459999,62.099998,58.254765,25396700
2018-10-15,61.889999,62.689999,60.430000,61.459999,57.654392,12706800
2018-10-22,61.799999,61.970001,57.009998,57.689999,54.117832,20089700
2018-10-29,57.959999,61.410000,56.340000,60.779999,57.016495,23298100
